FKY_Requirement_name,FKY_Course_abb
EECS Core Courses,CS 61A
EECS Core Courses,CS 61B
EECS Core Courses,CS 61C
EECS Core Courses,EE 20N
EECS Core Courses,EE 40
CS Core Courses,CS 61A
CS Core Courses,CS 61B
CS Core Courses,CS 61C
Upper Div EECS Electives,CS 161
Upper Div EECS Electives,CS 162
Upper Div EECS Electives,CS 169
Upper Div EECS Electives,CS 199
Upper Div EECS Electives,CS 194-16
Upper Div EECS Electives,EECS 150
Upper Div EECS Electives,CS 152
Upper Div CS Electives,CS 161
Upper Div CS Electives,CS 162
Upper Div CS Electives,CS 169
Upper Div CS Electives,CS 199
Upper Div CS Electives,CS 194-16
Upper Div CS Electives,EECS 150
Upper Div CS Electives,CS 152
Senior Design Class,CS 162
Senior Design Class,CS 169
Senior Design Class,EECS 150
Upper Div EECS Electives Units,CS 161
Upper Div EECS Electives Units,CS 162
Upper Div EECS Electives Units,CS 169
Upper Div EECS Electives Units,CS 199
Upper Div EECS Electives Units,CS 194-16
Upper Div EECS Electives Units,EECS 150
Upper Div EECS Electives Units,CS 152
Technical Engineering Courses,CS 61A
Technical Engineering Courses,CS 61B
Technical Engineering Courses,CS 61C
Technical Engineering Courses,EE 20N
Technical Engineering Courses,EE 40
Technical Engineering Courses,CS 70
Technical Engineering Courses,CS 161
Technical Engineering Courses,CS 162
Technical Engineering Courses,CS 169
Technical Engineering Courses,CS 199
Technical Engineering Courses,CS 194-16
Technical Engineering Courses,EECS 150
Technical Engineering Courses,CS 152
